Order,Color,P1000.csv,P1000_NRe.csv,P100_NRe.csv,P10_NRe.csv,P100.csv,P10.csv
14,Black,0.6407232755171873,0.5525062514530825,1.118033988749895,0.638666373658505,0.48936048492959305,
14,Blue,4.3222192155614225,2.924938145994681,3.3946552417773264,3.290736599672039,6.118135250823442,
14,Green,6.441310129971717,1.9469145308606106,2.1490511982341376,2.5755258362775812,5.714938872445562,
14,Red,7.907802054511307,3.70906226115751,2.6921402355039246,3.655393927048736,9.635005621863089,
14,White,18.733087610657527,3.756898416817484,4.996189023836535,3.525417908358043,21.675968699175108,
15,Black,0.5149286505444371,0.6602252917735247,0.7300459115473715,0.38924947208076144,0.36313651960128157,
15,Blue,4.870295701472368,2.8238907511373363,2.1461734799546455,2.6628760937957887,5.351902198551198,
15,Green,7.942098153317109,2.778434265858556,2.636389472469775,2.907670107585359,6.139406135149199,
15,Red,9.320879136582978,3.919520042382395,3.390462814312831,3.425021055522039,10.417476159022854,
15,White,19.246806499769274,3.777926319123662,3.5451631581891636,2.278663575938253,16.222525378939302,
