Order,Color,P1000.csv,P1000_NRe.csv,P0.csv,P_soil.csv,P100_NRe.csv,P_emp.csv,P10_NRe.csv,P100.csv,P10.csv,P_urea.csv,P_water.csv
21,Blue,,,289.3333333333333,135.0,,275.3333333333333,,,,322.6666666666667,289.3333333333333
21,Green,,,218.66666666666666,75.33333333333333,,200.0,,,,230.0,218.66666666666666
21,Red,,,350.6666666666667,123.66666666666667,,331.6666666666667,,,,352.0,350.6666666666667
21,White,,,809.6666666666666,318.6666666666667,,772.3333333333334,,,,845.3333333333334,809.6666666666666
22,Black,,,6.666666666666667,4.0,,6.0,,,,6.666666666666667,6.666666666666667
22,Blue,,,289.3333333333333,135.0,,275.0,,,,318.0,289.3333333333333
22,Green,,,214.0,74.66666666666667,,201.0,,,,227.33333333333334,214.0
22,Red,,,348.6666666666667,125.0,,335.6666666666667,,,,349.3333333333333,348.6666666666667
22,White,,,811.0,319.6666666666667,,771.3333333333334,,,,842.0,811.0
23,Black,,,6.0,5.0,,5.666666666666667,,,,7.333333333333333,6.0
23,Blue,,,292.0,135.0,,276.0,,,,315.3333333333333,292.0
23,Green,,,219.66666666666666,74.0,,202.66666666666666,,,,228.0,219.66666666666666
23,Red,,,351.6666666666667,123.66666666666667,,333.6666666666667,,,,351.6666666666667,351.6666666666667
23,White,,,807.6666666666666,318.6666666666667,,771.3333333333334,,,,840.3333333333334,807.6666666666666
24,Black,,,6.666666666666667,4.333333333333333,,6.0,,,,7.666666666666667,6.666666666666667
24,Blue,,,290.3333333333333,134.33333333333334,,275.3333333333333,,,,318.3333333333333,290.3333333333333
24,Green,,,219.0,73.66666666666667,,199.66666666666666,,,,226.33333333333334,219.0
24,Red,,,353.0,123.0,,333.6666666666667,,,,351.0,353.0
24,White,,,811.0,320.6666666666667,,772.3333333333334,,,,846.0,811.0
25,Black,,,7.0,4.333333333333333,,5.666666666666667,,,,7.666666666666667,7.0
25,Blue,,,291.6666666666667,133.66666666666666,,277.3333333333333,,,,317.6666666666667,291.6666666666667
25,Green,,,217.0,72.66666666666667,,199.0,,,,230.66666666666666,217.0
25,Red,,,352.0,123.33333333333333,,332.0,,,,345.0,352.0
25,White,,,807.0,320.3333333333333,,768.0,,,,844.0,807.0
26,Black,,,7.0,4.333333333333333,,6.0,,,,8.0,7.0
26,Blue,,,288.3333333333333,132.0,,279.0,,,,319.6666666666667,288.3333333333333
26,Green,,,217.0,74.0,,200.0,,,,228.66666666666666,217.0
26,Red,,,351.0,126.0,,336.3333333333333,,,,349.6666666666667,351.0
26,White,,,810.0,319.0,,768.6666666666666,,,,842.3333333333334,810.0
27,Black,,,6.666666666666667,4.333333333333333,,5.333333333333333,,,,8.0,6.666666666666667
27,Blue,,,290.0,133.33333333333334,,278.0,,,,319.0,290.0
27,Green,,,217.66666666666666,73.66666666666667,,198.66666666666666,,,,229.0,217.66666666666666
27,Red,,,350.6666666666667,126.0,,333.3333333333333,,,,351.0,350.6666666666667
27,White,,,811.3333333333334,320.3333333333333,,768.3333333333334,,,,846.3333333333334,811.3333333333334
28,Black,,,6.0,3.6666666666666665,,6.333333333333333,,,,7.333333333333333,6.0
28,Blue,,,288.0,135.0,,277.0,,,,316.6666666666667,288.0
28,Green,,,215.0,73.66666666666667,,199.0,,,,226.0,215.0
28,Red,,,351.6666666666667,124.33333333333333,,332.0,,,,346.0,351.6666666666667
28,White,,,813.0,320.6666666666667,,771.6666666666666,,,,845.3333333333334,813.0
29,Black,,,7.333333333333333,4.0,,5.666666666666667,,,,6.666666666666667,7.333333333333333
29,Blue,,,289.3333333333333,135.0,,279.3333333333333,,,,319.0,289.3333333333333
29,Green,,,217.66666666666666,73.33333333333333,,199.66666666666666,,,,228.66666666666666,217.66666666666666
29,Red,,,351.3333333333333,123.0,,335.6666666666667,,,,350.0,351.3333333333333
29,White,,,812.6666666666666,321.6666666666667,,769.3333333333334,,,,840.0,812.6666666666666
30,Green,,,218.0,,,,,,,,218.0
30,White,,,,,,,,,,836.0,
