No.,Order,Color,Value
No.,Order,Color,Value
1168,8,Red,337
1169,9,Red,344
1170,10,Red,338
1171,11,Red,338
1172,12,Red,342
1173,13,Red,339
1174,14,Red,340
1175,15,Red,337
1176,1,Green,343
1177,2,Green,200
1178,3,Green,196
1179,4,Green,193
1180,5,Green,196
1181,6,Green,197
1182,7,Green,198
1183,8,Green,194
1184,9,Green,202
1185,10,Green,196
1186,11,Green,200
1187,12,Green,195
1188,13,Green,197
1189,14,Green,202
1190,1,Blue,198
1191,2,Blue,330
1192,3,Blue,334
1193,4,Blue,334
1194,5,Blue,325
1195,6,Blue,336
1196,7,Blue,331
1197,8,Blue,330
1198,9,Blue,330
1199,10,Blue,332
1200,11,Blue,331
1201,12,Blue,335
1202,13,Blue,328
1203,14,Blue,329
1204,15,Blue,334
1205,1,Black,333
1206,2,Black,5
1207,3,Black,5
1208,4,Black,7
1209,5,Black,6
1210,6,Black,7
1211,7,Black,5
1212,8,Black,7
1213,9,Black,6
1214,10,Black,6
1215,11,Black,5
1216,12,Black,6
1217,13,Black,5
1218,14,Black,5
1219,15,Black,6
1220,0,Black,7
1221,0,Black,7
1222,0,Black,6
1223,0,Black,4
1224,0,Black,8
1225,0,Black,5
1226,0,Black,6
1227,0,Black,5
1228,0,Black,5
1229,0,Black,5
1230,0,Black,5
1231,0,Black,5
1232,0,Black,6
1233,0,Black,8
1234,1,White,6
1235,2,White,815
1236,3,White,822
1237,4,White,825
1238,5,White,814
1239,6,White,822
1240,7,White,826
1241,8,White,813
1242,9,White,820
1243,10,White,825
1244,11,White,814
1245,12,White,820
1246,13,White,826
1247,14,White,822
1248,15,White,820
1249,1,Red,819
1250,2,Red,339
1251,3,Red,339
1252,4,Red,340
1253,5,Red,340
1254,6,Red,341
1255,7,Red,341
1256,8,Red,335
1257,9,Red,340
1258,10,Red,342
1259,11,Red,339
1260,12,Red,336
1261,13,Red,341
1262,14,Red,342
1263,15,Red,338
1264,1,Green,336
1265,2,Green,198
1266,3,Green,192
1267,4,Green,197
1268,5,Green,200
1269,6,Green,195
1270,7,Green,197
1271,8,Green,202
1272,9,Green,199
1273,10,Green,201
1274,11,Green,200
1275,12,Green,193
1276,13,Green,196
1277,14,Green,194
1278,1,Blue,195
1279,2,Blue,332
1280,3,Blue,328
1281,4,Blue,333
1282,5,Blue,331
1283,6,Blue,331
1284,7,Blue,326
1285,8,Blue,336
1286,9,Blue,331
1287,10,Blue,328
1288,11,Blue,328
1289,12,Blue,330
1290,13,Blue,333
1291,14,Blue,331
1292,15,Blue,329
1293,1,Black,334
1294,2,Black,5
1295,3,Black,5
1296,4,Black,5
1297,5,Black,6
1298,6,Black,7
1299,7,Black,7
1300,8,Black,7
1301,9,Black,6
1302,10,Black,6
1303,11,Black,6
1304,12,Black,5
1305,13,Black,5
1306,14,Black,6
1307,15,Black,5
1308,0,Black,5
1309,0,Black,5
1310,0,Black,6
1311,0,Black,7
1312,0,Black,6
1313,0,Black,6
1314,0,Black,6
1315,0,Black,6
1316,0,Black,5
1317,0,Black,6
1318,0,Black,8
1319,0,Black,6
1320,0,Black,5
1321,0,Black,5
1322,1,White,6
1323,2,White,816
1324,3,White,820
1325,4,White,822
1326,5,White,815
1327,6,White,823
1328,7,White,818
1329,8,White,823
1330,9,White,821
1331,10,White,820
1332,11,White,814
1333,12,White,823
1334,13,White,818
1335,14,White,820
1336,15,White,815
1337,1,Red,819
1338,2,Red,337
1339,3,Red,336
1340,4,Red,334
1341,5,Red,339
1342,6,Red,336
1343,7,Red,337
1344,8,Red,340
1345,9,Red,338
1346,10,Red,344
1347,11,Red,341
1348,12,Red,339
1349,13,Red,345
1350,14,Red,338
1351,15,Red,338
1352,1,Green,337
1353,2,Green,197
1354,3,Green,196
1355,4,Green,200
1356,5,Green,195
1357,6,Green,197
1358,7,Green,196
1359,8,Green,198
1360,9,Green,198
1361,10,Green,193
1362,11,Green,196
1363,12,Green,201
1364,13,Green,197
1365,14,Green,198
1366,1,Blue,202
1367,2,Blue,333
1368,3,Blue,330
1369,4,Blue,330
1370,5,Blue,333
1371,6,Blue,329
1372,7,Blue,332
1373,8,Blue,330
1374,9,Blue,333
1375,10,Blue,331
1376,11,Blue,329
1377,12,Blue,330
1378,13,Blue,331
1379,14,Blue,330
1380,15,Blue,335
1381,1,Black,332
1382,2,Black,6
1383,3,Black,7
1384,4,Black,6
1385,5,Black,6
1386,6,Black,5
1387,7,Black,5
1388,8,Black,5
1389,9,Black,5
1390,10,Black,4
1391,11,Black,5
1392,12,Black,6
1393,13,Black,7
1394,14,Black,6
1395,15,Black,6
1396,0,Black,6
1397,0,Black,5
1398,0,Black,5
1399,0,Black,5
1400,0,Black,5
1401,0,Black,4
1402,0,Black,5
1403,0,Black,6
1404,0,Black,7
1405,0,Black,6
1406,0,Black,7
1407,0,Black,7
1408,0,Black,7
1409,0,Black,5
1410,0,Black,4
1411,1,White,5
1412,2,White,817
1413,3,White,810
1414,4,White,822
1415,5,White,820
