Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
18,Blue,263.75,239.0,228.0,270.5,219.75,265.5,288.0,281.5,270.5,221.0,297.5,192.5,272.0,226.0,272.25,223.25,264.0,276.75,235.5,285.5
18,Green,431.25,383.5,347.75,426.25,333.5,413.5,416.5,446.5,368.0,354.5,415.0,294.5,416.25,355.0,399.5,333.25,373.25,382.5,354.5,438.0
18,Red,327.5,315.0,320.75,333.25,313.25,335.25,330.25,358.5,329.75,299.75,338.25,311.75,342.5,320.25,329.0,300.5,325.25,338.0,314.0,342.75
18,White,939.25,889.25,843.5,943.75,817.25,935.5,943.25,953.25,907.25,827.5,947.0,767.0,944.25,853.25,927.0,814.75,898.75,930.5,855.0,949.5
19,Black,5.0,3.5,4.0,5.0,4.25,3.0,4.25,4.25,4.75,4.75,3.75,3.25,3.5,4.5,4.0,5.25,4.5,3.5,4.25,4.0
19,Blue,266.25,240.0,226.75,267.75,220.75,266.0,287.5,285.0,267.75,221.25,297.25,195.25,271.0,225.5,271.75,224.25,262.0,276.25,235.5,283.75
19,Green,431.0,382.5,348.25,425.5,333.25,415.5,414.75,444.75,366.5,354.5,415.25,296.25,417.5,353.0,395.75,337.0,376.25,386.25,355.75,433.0
19,Red,328.5,313.75,322.5,335.25,307.25,335.75,331.25,358.25,330.25,304.5,341.5,307.75,338.5,321.75,326.0,303.0,322.75,337.25,315.25,341.75
19,White,941.0,888.25,842.75,940.75,817.0,939.75,942.25,954.5,909.0,826.0,947.25,762.0,943.75,851.75,930.75,811.25,896.5,930.0,852.0,949.25
20,Black,5.0,3.0,4.25,4.75,3.75,3.5,4.25,4.5,4.5,5.25,4.0,3.25,3.75,4.5,4.0,4.75,4.25,3.75,4.0,4.0
20,Blue,264.0,241.75,227.0,269.75,218.5,264.25,287.0,283.0,268.75,220.25,296.5,191.75,272.0,228.25,271.75,223.25,264.25,277.0,233.0,283.75
20,Green,427.0,380.25,347.5,428.0,334.75,415.5,412.75,445.75,368.0,351.5,416.75,296.5,421.0,353.0,397.5,338.75,375.25,385.5,354.5,433.75
20,Red,328.5,313.25,322.25,331.0,309.0,336.0,332.75,358.0,329.25,299.25,339.25,307.5,337.0,320.25,328.5,302.25,326.25,336.0,316.25,341.5
20,White,940.75,889.0,843.5,939.5,816.25,941.0,944.25,953.75,910.75,830.0,947.0,765.0,942.0,848.75,930.25,813.75,898.75,927.5,855.0,951.75
21,Black,5.0,3.25,4.25,5.25,4.25,3.0,4.75,4.25,4.0,4.5,4.0,3.5,3.25,4.0,4.25,4.5,4.5,3.5,4.25,4.25
21,Blue,265.25,238.0,228.5,269.75,216.75,264.25,286.0,284.75,269.75,220.25,296.75,193.75,269.5,227.5,271.25,221.75,262.5,273.5,236.0,283.5
21,Green,432.5,380.25,351.75,429.0,332.5,413.5,416.0,446.0,369.5,352.5,415.75,298.25,417.75,354.0,396.0,334.5,378.25,385.0,351.0,436.25
21,Red,328.5,313.75,320.0,333.25,310.0,335.25,330.0,358.75,328.75,301.5,340.0,308.0,335.5,324.25,328.5,301.25,324.75,338.75,314.0,341.75
21,White,941.25,887.0,849.0,940.0,815.25,940.25,944.5,953.0,910.0,824.5,946.5,765.75,942.5,850.25,929.75,813.25,897.5,931.5,854.25,951.0
22,Black,5.0,3.25,4.75,5.5,3.75,3.5,4.5,4.75,4.0,4.5,4.0,3.0,3.25,4.0,4.5,4.5,4.5,3.5,4.0,4.25
22,Blue,262.25,239.25,227.75,269.0,219.25,264.25,289.5,285.5,269.25,221.5,299.0,193.75,269.5,226.0,275.25,226.25,262.25,277.0,234.5,282.75
22,Green,430.5,381.75,352.25,427.75,332.5,415.5,416.25,444.25,367.25,353.0,416.0,300.0,419.0,354.25,397.25,333.0,375.5,380.25,353.5,435.75
22,Red,327.5,318.25,320.25,332.25,309.5,334.75,330.0,362.75,330.5,304.25,336.25,308.25,336.5,323.25,324.0,300.25,323.75,336.25,311.25,342.5
22,White,944.25,887.25,844.0,943.5,816.0,938.75,944.75,952.25,911.5,828.0,949.5,765.75,941.25,851.25,929.25,815.25,898.5,928.25,851.5,948.0
23,Black,4.75,3.5,4.25,5.5,4.25,3.0,4.25,4.25,4.5,4.5,4.25,3.5,3.25,4.25,4.5,4.75,4.75,3.5,4.0,4.0
23,Blue,263.0,238.5,228.25,267.5,216.25,266.75,286.5,284.25,267.75,225.0,296.0,194.25,271.25,224.75,270.0,225.0,261.5,275.75,237.25,284.5
23,Green,430.25,383.0,351.5,425.5,334.25,413.75,413.5,442.75,366.0,350.0,414.5,298.5,417.0,352.25,396.75,335.0,379.25,383.75,353.25,433.0
23,Red,326.5,315.75,323.75,333.25,311.75,335.0,330.0,362.0,330.0,300.75,336.75,311.75,337.75,322.25,326.75,300.75,325.5,337.5,314.75,343.5
23,White,943.0,885.75,845.5,945.0,816.75,942.0,943.5,952.75,910.5,826.75,947.5,764.0,941.25,850.5,931.0,814.0,899.25,928.5,853.0,949.25
24,Black,5.0,3.5,4.25,5.0,4.5,3.25,4.0,4.0,4.75,4.75,4.0,3.75,3.0,4.5,4.25,4.75,4.5,3.75,4.5,4.25
24,Blue,264.75,242.25,229.25,271.25,217.25,266.5,287.25,284.5,269.25,220.75,299.25,192.25,270.0,226.5,273.5,223.0,263.25,274.5,236.0,283.25
24,Green,428.5,382.25,351.25,428.75,333.0,411.75,414.25,446.0,367.25,354.0,412.75,296.75,417.75,354.25,398.25,335.75,375.75,383.5,358.5,434.5
24,Red,328.25,315.5,320.75,334.75,309.25,334.75,330.75,359.5,333.75,301.25,336.75,310.0,336.5,320.25,325.0,304.25,324.5,335.0,316.75,342.5
24,White,942.0,888.25,845.0,945.5,813.5,941.25,942.75,954.0,908.5,826.75,947.25,766.25,944.25,849.75,930.0,814.0,897.5,928.75,855.75,950.75
