dataset,sample_name,integration_time_ms,gain,net_intensity_red,net_intensity_green,net_intensity_blue,net_intensity_clear
7_soil_calibration,E,101.0,1.0,624.5506792058517,542.046499477534,702.8709508881923,1795.1525600835946
7_soil_calibration,E,154.0,1.0,875.6113924050634,754.8113924050633,975.9854430379747,2502.3050632911395
7_soil_calibration,BLACK,199.0,1.0,549.9857142857143,458.15555555555557,390.8666666666667,1366.0460317460318
7_soil_calibration,RER,120.0,1.0,360.55379746835445,306.0848101265823,510.820253164557,1131.746835443038
7_soil_calibration,blank,401.0,1.0,888.5978835978837,720.589947089947,458.06878306878303,2037.9920634920636
7_soil_calibration,blank,240.0,1.0,554.2232142857143,451.1875,287.76984126984127,1275.0079365079364
7_soil_calibration,blank,540.0,1.0,1122.7570921985816,908.1560283687944,575.5673758865248,2569.4858156028367
7_soil_calibration,E,360.0,1.0,1830.287012987013,1575.905194805195,2001.4688311688312,5190.538961038961
7_soil_calibration,blank,480.0,1.0,1011.3918439716311,815.1843971631206,520.6312056737589,2313.053191489362
7_soil_calibration,D,199.0,1.0,1099.8419405320813,938.7918622848201,1196.5524256651017,3104.904538341158
7_soil_calibration,E,180.0,1.0,1008.6979655712049,871.1572769953052,1119.2519561815336,2878.474178403756
7_soil_calibration,B,50.0,1.0,377.6985294117647,333.5833333333333,435.593137254902,1099.4779411764707
7_soil_calibration,RED,24.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,blankA,24.0,1.0,0.0,0.0,0.0,0.0
Field_Soils_2024,Soil_8,540.0,1.0,0.0,0.0,0.0,0.0
Field_Soils_2024,Soil_9,540.0,1.0,2473.614942528736,2177.9049111807735,1824.0506792058516,6475.570532915361
Field_Soils_2024,Soil_21,540.0,1.0,2144.4265734265737,1899.3006993006993,1607.4125874125875,5651.1398601398605
Field_Soils_2024,Soil_20,540.0,1.0,2238.7205387205386,2009.043771043771,1626.3063973063972,5874.070707070707
Field_Soils_2024,Soil_22,540.0,1.0,2218.401069518716,1997.5668449197863,1649.2032085561498,5865.171122994652
Field_Soils_2024,Soil_23,540.0,1.0,2231.6477272727275,2004.6761363636365,1641.9488636363637,5878.272727272727
Field_Soils_2024,Soil_18,540.0,1.0,2304.8122529644265,2067.2529644268775,1708.804347826087,6080.869565217391
Field_Soils_2024,Soil_24,540.0,1.0,0.0,0.0,0.0,0.0
Field_Soils_2024,Soil_19,540.0,1.0,2285.172727272727,2044.7636363636361,1683.6636363636364,6013.599999999999
Field_Soils_2024,Soil_14,540.0,1.0,2356.955590386625,2090.0292580982236,1737.753396029258,6184.738244514107
Field_Soils_2024,Soil_15,540.0,1.0,2275.5511363636365,2005.346590909091,1705.5113636363637,5986.409090909091
Field_Soils_2024,Soil_17,540.0,1.0,2336.3312434691743,2071.295193312435,1704.745036572623,6112.371473354232
Field_Soils_2024,Soil_16,540.0,1.0,2349.6081504702192,2084.8045977011493,1722.7727272727273,6157.185475444096
Field_Soils_2024,Soil_12,540.0,1.0,2470.8349007314528,2170.4644723092997,1833.4984326018807,6474.797805642633
Field_Soils_2024,Soil_13,540.0,1.0,2400.9784688995214,2124.843301435407,1780.7727272727275,6306.594497607655
Field_Soils_2024,Soil_11,540.0,1.0,2462.2115987460816,2170.2972831765933,1817.8004179728318,6450.309299895507
Field_Soils_2024,Soil_10,540.0,1.0,2474.007130124777,2189.2762923351156,1879.9928698752228,6543.2762923351165
Field_Soils_2024,Soil_1,540.0,1.0,1164.6191222570533,938.9148380355277,603.1421107628004,2706.6760710553813
Field_Soils_2024,Soil_0,540.0,1.0,0.0,0.0,0.0,0.0
Field_Soils_2024,Soil_2,540.0,1.0,0.0,0.0,0.0,0.0
Field_Soils_2024,Soil_3,540.0,1.0,1189.085684430512,958.7236154649947,609.3599791013584,2757.1692789968656
Field_Soils_2024,Soil_7,540.0,1.0,1940.4106583072103,1787.7027168234063,1785.1149425287356,5513.228317659353
Field_Soils_2024,Soil_6,540.0,1.0,2217.0846394984324,2006.4932079414837,2940.658829676071,7164.236677115988
Field_Soils_2024,Soil_4,540.0,1.0,1473.4738766980147,1238.6050156739811,1257.0214211076282,3969.1003134796238
Field_Soils_2024,Soil_5,540.0,1.0,1860.7868338557994,1592.1347962382445,1986.8218390804598,5439.743469174504
